url,avg_f1,max_f1,avg_tpr,max_tpr,ens_tpr,ens_f1,knn_tpr,knn_f1,cumul_tpr,cumul_f1,kfp_tpr,kfp_f1
deepdot35wvmeyd5.onion,0.933761297946,0.985915492958,0.957142857143,1.0,1.0,0.985915492958,0.885714285714,0.843537414966,0.985714285714,0.971830985915,1.0,0.985915492958
dembtxtlnu2cospb.onion,0.772858496301,0.830769230769,0.728571428571,0.771428571429,0.814285714286,0.857142857143,0.671428571429,0.728682170543,0.742857142857,0.759124087591,0.771428571429,0.830769230769
demonhkzoijsvvui.onion,0.937884279043,0.964028776978,0.904761904762,0.957142857143,0.914285714286,0.941176470588,0.871428571429,0.917293233083,0.957142857143,0.964028776978,0.885714285714,0.932330827068
digitalass6qi2nt.onion,0.983617321645,1.0,0.995238095238,1.0,1.0,0.979020979021,0.985714285714,0.971830985915,1.0,1.0,1.0,0.979020979021
dikznmk6qhislhhq.onion,0.439670191369,0.471337579618,0.509523809524,0.614285714286,0.6,0.497041420118,0.385714285714,0.380281690141,0.614285714286,0.467391304348,0.528571428571,0.471337579618
dildosky53jnf5mt.onion,0.852150157269,0.978417266187,0.852380952381,0.971428571429,0.928571428571,0.909090909091,0.657142857143,0.681481481481,0.971428571429,0.978417266187,0.928571428571,0.896551724138
djmrwe2r45qf5bjj.onion,0.985948091132,0.992907801418,1.0,1.0,1.0,0.992907801418,1.0,0.979020979021,1.0,0.992907801418,1.0,0.985915492958
djn4mhmbbqwjiq2v.onion,0.801878972092,0.936170212766,0.833333333333,0.942857142857,0.942857142857,0.891891891892,0.642857142857,0.63829787234,0.942857142857,0.936170212766,0.914285714286,0.831168831169
dkkuvairvnab3utz.onion,0.827970837166,0.896551724138,0.833333333333,0.928571428571,0.928571428571,0.909090909091,0.728571428571,0.713286713287,0.928571428571,0.896551724138,0.842857142857,0.874074074074
dmru36nvfgtywx47.onion,0.870627334087,0.964539007092,0.842857142857,0.971428571429,0.9,0.9,0.7,0.777777777778,0.971428571429,0.964539007092,0.857142857143,0.869565217391
dmzwvie2gmtwszof.onion,0.985645769099,0.992805755396,0.980952380952,0.985714285714,0.985714285714,0.985714285714,0.985714285714,0.992805755396,0.971428571429,0.978417266187,0.985714285714,0.985714285714
do7dt6vuskgrz3sa.onion,0.931163954944,0.950354609929,0.933333333333,0.957142857143,0.971428571429,0.957746478873,0.942857142857,0.916666666667,0.9,0.926470588235,0.957142857143,0.950354609929
doe6ypf2fcyznaq5.onion,0.638901904578,0.816901408451,0.652380952381,0.828571428571,0.8,0.767123287671,0.428571428571,0.428571428571,0.828571428571,0.816901408451,0.7,0.671232876712
donksunrwimg76cz.onion,0.997601918465,1.0,0.995238095238,1.0,1.0,1.0,1.0,1.0,0.985714285714,0.992805755396,1.0,1.0
dosug4rea4kvnk5f.onion,0.997635933806,1.0,1.0,1.0,1.0,1.0,1.0,0.992907801418,1.0,1.0,1.0,1.0
dqeasamlf3jld2kz.onion,0.93561505045,0.952380952381,0.966666666667,1.0,0.985714285714,0.978723404255,0.942857142857,0.904109589041,1.0,0.952380952381,0.957142857143,0.950354609929
drugs26ucskmvcef.onion,0.351098177185,0.409937888199,0.37619047619,0.471428571429,0.371428571429,0.368794326241,0.285714285714,0.27972027972,0.471428571429,0.409937888199,0.371428571429,0.363636363636
dslsjffqyhv5vdx2.onion,0.700051114945,0.879432624113,0.680952380952,0.885714285714,0.742857142857,0.806201550388,0.585714285714,0.554054054054,0.885714285714,0.879432624113,0.571428571429,0.666666666667
dtt6tdtgroj63iud.onion,0.943661971831,0.971830985915,0.957142857143,0.985714285714,0.971428571429,0.971428571429,0.9,0.887323943662,0.985714285714,0.971830985915,0.985714285714,0.971830985915
duskgytldkxiuqc6.onion,0.501098358633,0.643835616438,0.538095238095,0.671428571429,0.6,0.541935483871,0.485714285714,0.459459459459,0.671428571429,0.643835616438,0.457142857143,0.4
dustriic3kdutvvc.onion,0.500827731165,0.646616541353,0.480952380952,0.614285714286,0.542857142857,0.567164179104,0.428571428571,0.43795620438,0.614285714286,0.646616541353,0.4,0.417910447761
dxlleqfav6vhkme6.onion,0.976721662892,0.992907801418,0.995238095238,1.0,1.0,0.985915492958,0.985714285714,0.965034965035,1.0,0.992907801418,1.0,0.972222222222
e4unrusy7se5evw5.onion,0.983550728232,0.992907801418,0.995238095238,1.0,1.0,1.0,0.985714285714,0.978723404255,1.0,0.992907801418,1.0,0.979020979021
ejsrfugryg3txyqh.onion,0.872453869847,0.934306569343,0.861904761905,0.914285714286,0.885714285714,0.925373134328,0.828571428571,0.789115646259,0.914285714286,0.934306569343,0.842857142857,0.893939393939
ejz7kqoryhqwosbk.onion,0.766554091894,0.880597014925,0.680952380952,0.842857142857,0.785714285714,0.873015873016,0.585714285714,0.677685950413,0.842857142857,0.880597014925,0.614285714286,0.741379310345
eldorwcyykw6lzds.onion,0.912240795599,0.935251798561,0.909523809524,0.928571428571,0.942857142857,0.942857142857,0.9,0.875,0.928571428571,0.935251798561,0.9,0.926470588235
elwmfxkjwkax3647.onion,0.630787692206,0.707482993197,0.638095238095,0.742857142857,0.671428571429,0.686131386861,0.557142857143,0.557142857143,0.614285714286,0.627737226277,0.742857142857,0.707482993197
en35tuzqmn4lofbk.onion,0.838805970149,0.928571428571,0.828571428571,0.928571428571,0.9,0.926470588235,0.685714285714,0.716417910448,0.928571428571,0.928571428571,0.871428571429,0.871428571429
etnkdf2jsvc7vi4u.onion,0.92460947142,1.0,0.914285714286,1.0,0.985714285714,0.992805755396,0.771428571429,0.788321167883,0.971428571429,0.985507246377,1.0,1.0
exproudpbwwklfpv.onion,0.364808929695,0.554838709677,0.390476190476,0.614285714286,0.614285714286,0.551282051282,0.328571428571,0.335766423358,0.228571428571,0.203821656051,0.614285714286,0.554838709677
exwljei3bfvchv6p.onion,0.990407673861,1.0,0.985714285714,1.0,0.985714285714,0.992805755396,0.971428571429,0.978417266187,0.985714285714,0.992805755396,1.0,1.0
ezuwnhj5j6mtk4xr.onion,0.829967329261,0.95652173913,0.847619047619,0.942857142857,0.928571428571,0.909090909091,0.728571428571,0.703448275862,0.942857142857,0.95652173913,0.871428571429,0.829931972789
ezxjj3l2kqcvedic.onion,0.0915608703332,0.159420289855,0.0904761904762,0.157142857143,0.0857142857143,0.0863309352518,0.0285714285714,0.027027027027,0.157142857143,0.159420289855,0.0857142857143,0.0882352941176
facebookcorewwwi.onion,0.936939980714,0.957746478873,0.947619047619,0.971428571429,0.971428571429,0.957746478873,0.928571428571,0.896551724138,0.942857142857,0.95652173913,0.971428571429,0.957746478873
fakepasvv3holddd.onion,0.962801087801,0.979020979021,0.985714285714,1.0,1.0,0.979020979021,0.985714285714,0.958333333333,0.971428571429,0.951048951049,1.0,0.979020979021
fb2lib3argrtulnw.onion,0.983518130057,1.0,0.990476190476,1.0,0.985714285714,0.985714285714,0.985714285714,0.971830985915,1.0,1.0,0.985714285714,0.978723404255
fdp3ombsobj2uw4w.onion,0.202982389564,0.279411764706,0.2,0.271428571429,0.257142857143,0.264705882353,0.142857142857,0.15503875969,0.185714285714,0.174496644295,0.271428571429,0.279411764706
fdwmarkvokb5i7wh.onion,0.943555006145,0.978417266187,0.947619047619,0.971428571429,0.971428571429,0.971428571429,0.914285714286,0.895104895105,0.957142857143,0.957142857143,0.971428571429,0.978417266187
ffi5v46ttwgx3fby.onion,0.408732408241,0.496551724138,0.419047619048,0.514285714286,0.442857142857,0.455882352941,0.342857142857,0.317880794702,0.514285714286,0.496551724138,0.4,0.411764705882
flibustahezeous3.onion,0.952617359,0.957142857143,0.957142857143,0.957142857143,0.957142857143,0.957142857143,0.957142857143,0.950354609929,0.957142857143,0.957142857143,0.957142857143,0.950354609929
flugforumpwzz3wq.onion,0.961198370917,0.985915492958,0.995238095238,1.0,1.0,0.958904109589,0.985714285714,0.938775510204,1.0,0.985915492958,1.0,0.958904109589
flugsvampkgwqwao.onion,0.960429828558,0.978723404255,0.980952380952,1.0,1.0,0.972222222222,0.957142857143,0.943661971831,0.985714285714,0.978723404255,1.0,0.958904109589
fncuwbiisyh6ak3i.onion,0.990577031932,0.992907801418,1.0,1.0,1.0,0.985915492958,1.0,0.992907801418,1.0,0.985915492958,1.0,0.992907801418
footballthj7o5w3.onion,0.887967685996,0.971830985915,0.928571428571,0.985714285714,0.957142857143,0.924137931034,0.842857142857,0.786666666667,0.985714285714,0.971830985915,0.957142857143,0.905405405405
frankk4lwkgnrnhk.onion,0.682274509804,0.752,0.62380952381,0.671428571429,0.742857142857,0.818897637795,0.542857142857,0.558823529412,0.671428571429,0.752,0.657142857143,0.736
freepress3xxs3hk.onion,0.931734795789,0.971014492754,0.938095238095,0.985714285714,0.971428571429,0.971428571429,0.871428571429,0.859154929577,0.985714285714,0.965034965035,0.957142857143,0.971014492754
ftec4org3hcpnoir.onion,0.95976278405,0.992907801418,0.971428571429,1.0,1.0,0.965517241379,0.914285714286,0.920863309353,1.0,0.992907801418,1.0,0.965517241379
fuckyouhwlpp3odw.onion,0.958137016648,0.979020979021,0.97619047619,1.0,0.985714285714,0.978723404255,0.942857142857,0.916666666667,0.985714285714,0.978723404255,1.0,0.979020979021
futz4b7tmqzoxnc6.onion,0.831891372266,0.890410958904,0.861904761905,0.928571428571,0.928571428571,0.890410958904,0.728571428571,0.75,0.928571428571,0.855263157895,0.928571428571,0.890410958904
fxykzagxswix4mzn.onion,0.947364468428,0.978723404255,0.947619047619,0.985714285714,0.985714285714,0.978723404255,0.9,0.919708029197,0.985714285714,0.978723404255,0.957142857143,0.943661971831
fyqe73pativ7vdif.onion,0.702279202279,0.722222222222,0.733333333333,0.8,0.871428571429,0.787096774194,0.657142857143,0.666666666667,0.742857142857,0.722222222222,0.8,0.717948717949
fzqnrlcvhkgbdwx5.onion,0.627288216011,0.885714285714,0.609523809524,0.885714285714,0.728571428571,0.772727272727,0.442857142857,0.449275362319,0.885714285714,0.885714285714,0.5,0.546875
g7ielqfyazy3n6nt.onion,0.969462019462,0.979020979021,0.985714285714,1.0,1.0,0.992907801418,0.957142857143,0.957142857143,1.0,0.972222222222,1.0,0.979020979021
gekejzxwt6uqlboa.onion,0.771135705474,0.89932885906,0.790476190476,0.957142857143,0.914285714286,0.876712328767,0.642857142857,0.608108108108,0.957142857143,0.89932885906,0.771428571429,0.805970149254
giyvshdnojeivkom.onion,0.821321765421,0.985507246377,0.809523809524,0.971428571429,0.942857142857,0.910344827586,0.571428571429,0.634920634921,0.971428571429,0.985507246377,0.885714285714,0.843537414966
gjobqjj7wyczbqie.onion,0.494025356418,0.627737226277,0.457142857143,0.614285714286,0.5,0.503597122302,0.414285714286,0.479338842975,0.614285714286,0.627737226277,0.342857142857,0.375
gkqmy7ioqptiru5o.onion,0.123015873016,0.142857142857,0.114285714286,0.142857142857,0.1,0.109375,0.142857142857,0.142857142857,0.0571428571429,0.0833333333333,0.142857142857,0.142857142857
glenndhfjybbk3mx.onion,0.188764724783,0.212765957447,0.2,0.228571428571,0.171428571429,0.179104477612,0.214285714286,0.212765957447,0.228571428571,0.189349112426,0.157142857143,0.164179104478
godnotaba36dsabv.onion,0.942786185713,0.985915492958,0.942857142857,1.0,1.0,0.992907801418,0.871428571429,0.871428571429,1.0,0.985915492958,0.957142857143,0.971014492754
gopostal7dywpbv6.onion,0.583622611087,0.65,0.5,0.557142857143,0.542857142857,0.638655462185,0.542857142857,0.535211267606,0.4,0.565656565657,0.557142857143,0.65
gore226jrod4ia2c.onion,0.956302397695,0.985507246377,0.938095238095,0.971428571429,0.957142857143,0.978102189781,0.928571428571,0.935251798561,0.971428571429,0.985507246377,0.914285714286,0.948148148148
gotham22iwmkmzcn.onion,0.854257689739,0.964028776978,0.871428571429,0.957142857143,0.971428571429,0.964539007092,0.728571428571,0.708333333333,0.957142857143,0.964028776978,0.928571428571,0.890410958904
grams7enufi7jmdl.onion,0.974095161988,1.0,0.980952380952,1.0,0.985714285714,0.971830985915,0.971428571429,0.957746478873,1.0,1.0,0.971428571429,0.964539007092
grams7eo7mkagczs.onion,0.965356482598,0.965517241379,0.995238095238,1.0,1.0,0.972222222222,1.0,0.965517241379,0.985714285714,0.965034965035,1.0,0.965517241379
greendrgfjz7ks5f.onion,0.953825106907,0.985714285714,0.97619047619,0.985714285714,1.0,0.979020979021,0.957142857143,0.930555555556,0.985714285714,0.985714285714,0.985714285714,0.945205479452
gt6k73wri5ef4s5a.onion,0.752697790007,0.921985815603,0.742857142857,0.928571428571,0.842857142857,0.842857142857,0.571428571429,0.56338028169,0.928571428571,0.921985815603,0.728571428571,0.772727272727
gunsammoaahtpmqs.onion,0.948734863493,0.971830985915,0.961904761905,0.985714285714,0.971428571429,0.971428571429,0.942857142857,0.910344827586,0.957142857143,0.964028776978,0.985714285714,0.971830985915
h3b6ugm4axijz2yo.onion,0.105314502246,0.150289017341,0.119047619048,0.185714285714,0.114285714286,0.104575163399,0.1,0.10071942446,0.185714285714,0.150289017341,0.0714285714286,0.0649350649351
hackerw6dcplg3ej.onion,0.658567022203,0.710743801653,0.557142857143,0.614285714286,0.7,0.784,0.471428571429,0.564102564103,0.614285714286,0.710743801653,0.585714285714,0.700854700855
hackharhoaw3yk5q.onion,0.79831500418,0.915492957746,0.82380952381,0.928571428571,0.9,0.881118881119,0.7,0.671232876712,0.928571428571,0.915492957746,0.842857142857,0.808219178082
haklab4ulibiyeix.onion,0.978381275421,0.992907801418,0.97619047619,1.0,1.0,0.992907801418,0.942857142857,0.95652173913,1.0,0.992907801418,0.985714285714,0.985714285714
hardblush4fncbgz.onion,0.439205311236,0.492307692308,0.395238095238,0.457142857143,0.414285714286,0.513274336283,0.457142857143,0.492307692308,0.357142857143,0.373134328358,0.371428571429,0.452173913043
harry423seerr2iy.onion,0.119787350285,0.178343949045,0.109523809524,0.2,0.1,0.145833333333,0.2,0.178343949045,0.0285714285714,0.039603960396,0.1,0.141414141414
hc3sz3i2rb5dljqq.onion,0.968995492122,0.992907801418,0.966666666667,1.0,1.0,1.0,0.928571428571,0.928571428571,0.971428571429,0.985507246377,1.0,0.992907801418
hcutffpecnc44vef.onion,0.958073644244,0.992907801418,0.97619047619,1.0,1.0,0.979020979021,0.928571428571,0.909090909091,1.0,0.992907801418,1.0,0.972222222222
hempudpjbonzdylx.onion,0.326918258934,0.369863013699,0.304761904762,0.385714285714,0.371428571429,0.368794326241,0.271428571429,0.292307692308,0.257142857143,0.318584070796,0.385714285714,0.369863013699
hg5km4y37lgir6r3.onion,0.971563417959,0.992805755396,0.971428571429,0.985714285714,0.985714285714,0.985714285714,0.942857142857,0.936170212766,0.985714285714,0.992805755396,0.985714285714,0.985714285714
hgyamsjnvzpmdcfa.onion,0.8849036736,0.955882352941,0.885714285714,0.985714285714,0.971428571429,0.971428571429,0.742857142857,0.753623188406,0.985714285714,0.945205479452,0.928571428571,0.955882352941
highkorea5ou4wcy.onion,0.884743109978,0.925170068027,0.9,0.971428571429,0.928571428571,0.921985815603,0.871428571429,0.853146853147,0.971428571429,0.925170068027,0.857142857143,0.875912408759
hostie65cxwr4tza.onion,0.790506598553,0.903703703704,0.795238095238,0.871428571429,0.885714285714,0.898550724638,0.657142857143,0.634482758621,0.871428571429,0.903703703704,0.857142857143,0.833333333333
hosting6iar5zo7c.onion,0.74115277745,0.917293233083,0.771428571429,0.871428571429,0.857142857143,0.827586206897,0.742857142857,0.630303030303,0.871428571429,0.917293233083,0.7,0.675862068966
hqwwti2guilksrmw.onion,0.988505747126,1.0,1.0,1.0,1.0,1.0,1.0,0.965517241379,1.0,1.0,1.0,1.0
hwikis25cffertqe.onion,0.974220032841,0.985714285714,0.985714285714,1.0,1.0,0.992907801418,0.971428571429,0.971428571429,1.0,0.965517241379,0.985714285714,0.985714285714
hxnibog5m2ocjeef.onion,0.889387896483,0.924137931034,0.904761904762,0.957142857143,0.928571428571,0.921985815603,0.842857142857,0.848920863309,0.957142857143,0.924137931034,0.914285714286,0.895104895105
hybedxst6ulae4oh.onion,0.807792860734,0.882352941176,0.742857142857,0.857142857143,0.828571428571,0.899224806202,0.657142857143,0.707692307692,0.857142857143,0.882352941176,0.714285714286,0.833333333333
hzovy5vy36hrbxqv.onion,0.915690751245,0.971830985915,0.933333333333,0.985714285714,0.957142857143,0.917808219178,0.857142857143,0.875912408759,0.985714285714,0.971830985915,0.957142857143,0.89932885906
ibmarketh6fnr65q.onion,0.965212800405,0.985714285714,0.97619047619,0.985714285714,0.985714285714,0.985714285714,0.971428571429,0.931506849315,0.985714285714,0.985714285714,0.971428571429,0.978417266187
ieh7jxzhptdhfxbg.onion,0.772643383814,0.909090909091,0.790476190476,0.928571428571,0.871428571429,0.841379310345,0.671428571429,0.648275862069,0.928571428571,0.909090909091,0.771428571429,0.760563380282
iidxap2xwq6arwbr.onion,0.94273170261,0.992907801418,0.961904761905,1.0,1.0,1.0,0.914285714286,0.87074829932,1.0,0.992907801418,0.971428571429,0.964539007092
ik3dw5whel25zxnj.onion,0.958239398819,1.0,0.942857142857,1.0,0.971428571429,0.985507246377,0.871428571429,0.903703703704,1.0,1.0,0.957142857143,0.971014492754
ikqiyldjddtx65pk.onion,0.0851564597912,0.101694915254,0.0761904761905,0.0857142857143,0.0857142857143,0.104347826087,0.0714285714286,0.0675675675676,0.0857142857143,0.101694915254,0.0714285714286,0.0862068965517
ityukvsoqjgzcimm.onion,0.910545223495,0.944444444444,0.92380952381,0.971428571429,0.971428571429,0.951048951049,0.885714285714,0.892086330935,0.971428571429,0.944444444444,0.914285714286,0.895104895105
ivq7q7pfpwzfnpoa.onion,0.848676686029,0.963503649635,0.82380952381,0.942857142857,0.942857142857,0.936170212766,0.7,0.765625,0.942857142857,0.963503649635,0.828571428571,0.816901408451
j5ehssrshpxpdkto.onion,0.749981891044,0.859060402685,0.785714285714,0.914285714286,0.857142857143,0.857142857143,0.671428571429,0.602564102564,0.914285714286,0.859060402685,0.771428571429,0.788321167883
jbfkuizu67tzrqkf.onion,0.820346320346,0.942857142857,0.804761904762,0.942857142857,0.9,0.933333333333,0.7,0.7,0.942857142857,0.942857142857,0.771428571429,0.818181818182
jitjatxmemcaaadp.onion,0.970049103611,0.979020979021,1.0,1.0,1.0,0.972222222222,1.0,0.958904109589,1.0,0.979020979021,1.0,0.972222222222
jmkxdr4djc3cpsei.onion,0.748351480641,0.875912408759,0.771428571429,0.857142857143,0.828571428571,0.834532374101,0.714285714286,0.684931506849,0.857142857143,0.875912408759,0.742857142857,0.684210526316
jq77mc73wz5wuawt.onion,0.0628528816448,0.0939597315436,0.0428571428571,0.1,0.0285714285714,0.0325203252033,0.1,0.0939597315436,0.0,,0.0285714285714,0.031746031746
jsbpbdf6mpw6s2oz.onion,0.544667219,0.764705882353,0.509523809524,0.742857142857,0.685714285714,0.774193548387,0.557142857143,0.549295774648,0.228571428571,0.32,0.742857142857,0.764705882353
jstash5cxe6ixxb2.onion,0.902187467705,0.971428571429,0.919047619048,0.971428571429,0.985714285714,0.971830985915,0.814285714286,0.797202797203,0.971428571429,0.971428571429,0.971428571429,0.937931034483
jungswtfwgjwile2.onion,0.927913399288,0.964539007092,0.938095238095,0.971428571429,0.971428571429,0.964539007092,0.885714285714,0.855172413793,0.971428571429,0.964539007092,0.957142857143,0.964028776978
jvyu37pcvo4tia5z.onion,0.462522916444,0.531468531469,0.457142857143,0.542857142857,0.557142857143,0.541666666667,0.414285714286,0.426470588235,0.542857142857,0.531468531469,0.414285714286,0.42962962963
jzn5w5pac26sqef4.onion,0.710298534017,0.817518248175,0.714285714286,0.8,0.8,0.794326241135,0.614285714286,0.609929078014,0.728571428571,0.703448275862,0.8,0.817518248175
k4btcoezc5tlxyaf.onion,0.845723817186,0.901408450704,0.838095238095,0.914285714286,0.9,0.893617021277,0.757142857143,0.768115942029,0.914285714286,0.901408450704,0.842857142857,0.867647058824
k5vbzl3ucwsjf2ye.onion,0.959504736636,0.992907801418,0.961904761905,1.0,0.971428571429,0.971428571429,0.928571428571,0.935251798561,1.0,0.992907801418,0.957142857143,0.950354609929
kaarvixjxfdy2wv2.onion,0.992771000591,1.0,0.985714285714,1.0,0.985714285714,0.992805755396,0.971428571429,0.985507246377,0.985714285714,0.992805755396,1.0,1.0
kaufmichob4rdqje.onion,0.961904761905,0.985714285714,0.961904761905,0.985714285714,0.985714285714,0.985714285714,0.914285714286,0.914285714286,0.985714285714,0.985714285714,0.985714285714,0.985714285714
khldt5et3aekegpw.onion,0.93329763067,0.978417266187,0.909523809524,0.971428571429,0.971428571429,0.978417266187,0.842857142857,0.893939393939,0.914285714286,0.927536231884,0.971428571429,0.978417266187
kjk4qvgg6usnvwyh.onion,0.960784313725,0.970588235294,0.933333333333,0.942857142857,0.957142857143,0.978102189781,0.928571428571,0.955882352941,0.942857142857,0.970588235294,0.928571428571,0.955882352941
kobrabd77ppgjd2r.onion,0.908968179671,0.971830985915,0.9,0.985714285714,1.0,0.992907801418,0.757142857143,0.791044776119,0.957142857143,0.964028776978,0.985714285714,0.971830985915
konkretzdxpqygow.onion,0.84355094982,0.942857142857,0.861904761905,0.942857142857,0.9,0.868965517241,0.814285714286,0.765100671141,0.942857142857,0.942857142857,0.828571428571,0.822695035461
koushinfmzibnzyd.onion,0.952284459883,0.992907801418,0.985714285714,1.0,1.0,0.972222222222,0.957142857143,0.91156462585,1.0,0.992907801418,1.0,0.952380952381
kowloon5aibdbege.onion,0.941685528642,0.985507246377,0.952380952381,0.971428571429,0.971428571429,0.978417266187,0.914285714286,0.895104895105,0.971428571429,0.985507246377,0.971428571429,0.944444444444
kpvz7ki2v5agwt35.onion,0.983551426764,0.992907801418,0.995238095238,1.0,1.0,0.992907801418,0.985714285714,0.971830985915,1.0,0.992907801418,1.0,0.985915492958
kr5hou2zh4qtebqk.onion,0.911341636969,0.964539007092,0.909523809524,0.971428571429,0.942857142857,0.95652173913,0.842857142857,0.880597014925,0.971428571429,0.964539007092,0.914285714286,0.888888888889
kseroxng6zvqb4tm.onion,0.221600399419,0.28125,0.209523809524,0.257142857143,0.242857142857,0.244604316547,0.157142857143,0.162962962963,0.257142857143,0.28125,0.214285714286,0.220588235294
kvs3xgkasyoqd4hx.onion,0.924028853153,0.95652173913,0.928571428571,0.971428571429,0.985714285714,0.958333333333,0.871428571429,0.884057971014,0.942857142857,0.95652173913,0.971428571429,0.931506849315
kxojy6ygju4h6lwn.onion,0.942822641583,0.992907801418,0.942857142857,1.0,0.985714285714,0.985714285714,0.857142857143,0.857142857143,0.971428571429,0.978417266187,1.0,0.992907801418
laundryzlzgnni4n.onion,0.803852937186,0.857142857143,0.814285714286,0.9,0.928571428571,0.878378378378,0.785714285714,0.769230769231,0.757142857143,0.785185185185,0.9,0.857142857143
lb5vnwyafrlxgmlt.onion,0.138690484565,0.195488721805,0.133333333333,0.185714285714,0.185714285714,0.194029850746,0.1,0.0965517241379,0.114285714286,0.124031007752,0.185714285714,0.195488721805
